customer_name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment
Benjamin Patterson,40,31,18714.0,1,2,4,124,Regular Customers
Benjamin Venier,45,25,21366.0,1,1,5,115,Regular Customers
Berenike Kampe,27,33,13586.0,2,3,2,232,At Risk
Beth Fritzler,7,30,10588.0,4,2,1,421,Regular Customers
Beth Paige,13,33,12827.0,4,3,2,432,Regular Customers
Beth Thompson,29,34,11631.0,2,3,2,232,At Risk
Bill Donatelli,6,38,15276.0,5,5,3,553,Loyal Customers
Bill Eplett,36,42,28480.0,2,5,5,255,At Risk
Bill Overfelt,22,26,8093.0,3,1,1,311,Regular Customers
Bill Shonely,1,31,23511.0,5,2,5,525,Potential Loyalists
Bill Stewart,29,28,18776.0,2,1,4,214,Regular Customers
Bill Tyler,29,28,11798.0,2,1,2,212,Lost Customers
Bobby Elias,22,37,18411.0,3,4,4,344,Regular Customers
Bobby Odegard,2,29,15029.0,5,2,3,523,Potential Loyalists
Bobby Trafton,52,31,10400.0,1,3,1,131,At Risk
Brad Eason,4,29,18986.0,5,2,4,524,Potential Loyalists
Brad Norvell,12,36,26200.0,4,4,5,445,Loyal Customers
Brad Thomas,31,38,11683.0,2,5,2,252,At Risk
Bradley Drucker,20,30,13142.0,3,2,2,322,Regular Customers
Bradley Nguyen,10,31,12878.0,4,3,2,432,Regular Customers
Bradley Talbott,34,32,15343.0,2,3,3,233,At Risk
Brenda Bowman,29,31,16007.0,2,3,3,233,At Risk
Brendan Dodson,8,24,10920.0,4,1,1,411,Regular Customers
Brendan Murry,35,34,12055.0,2,3,2,232,At Risk
Brendan Sweed,36,28,12179.0,2,1,2,212,Lost Customers
Brian Dahlen,98,24,9890.0,1,1,1,111,Lost Customers
Brian DeCherney,50,36,10772.0,1,4,1,141,At Risk
Brian Derr,10,34,16917.0,4,3,4,434,Potential Loyalists
Brian Moss,34,32,17459.0,2,3,4,234,At Risk
Brian Stugart,30,31,22573.0,2,3,5,235,At Risk
Brian Thompson,19,26,14896.0,3,1,3,313,Regular Customers
Brooke Gillingham,10,24,11213.0,4,1,1,411,Regular Customers
Brosina Hoffman,24,41,28120.0,2,5,5,255,At Risk
Bruce Degenhardt,5,43,15959.0,5,5,3,553,Loyal Customers
Bruce Geld,7,28,15381.0,4,1,3,413,Potential Loyalists
Bruce Stewart,2,34,19234.0,5,3,4,534,Potential Loyalists
Bryan Davis,36,31,13571.0,2,3,2,232,At Risk
Bryan Mills,3,45,20689.0,5,5,5,555,Champions
Bryan Spruell,10,30,17253.0,4,2,4,424,Potential Loyalists
Candace McMahon,41,28,14798.0,1,1,3,113,Regular Customers
Cari MacIntyre,7,37,21608.0,4,4,5,445,Loyal Customers
Cari Sayre,16,34,22067.0,3,4,5,345,Regular Customers
Cari Schnelling,51,30,12179.0,1,2,2,122,Lost Customers
Carl Jackson,14,29,13972.0,3,2,3,323,Regular Customers
Carl Ludwig,14,40,18180.0,3,5,4,354,Regular Customers
Carl Weiss,9,29,14357.0,4,2,3,423,Potential Loyalists
Carlos Daly,3,31,20117.0,5,3,5,535,Potential Loyalists
Carlos Meador,37,25,10148.0,2,1,1,211,Lost Customers
Carlos Soltero,26,36,14936.0,2,4,3,243,At Risk
Carol Adams,19,34,23993.0,3,4,5,345,Regular Customers
Carol Darley,2,30,13232.0,5,2,2,522,Regular Customers
Carol Triggs,29,29,14139.0,2,2,3,223,Regular Customers
Caroline Jumper,34,29,19582.0,2,2,4,224,Regular Customers
Cassandra Brandow,10,30,13529.0,4,2,2,422,Regular Customers
Catherine Glotzbach,22,24,4116.0,3,1,1,311,Regular Customers
Cathy Armstrong,14,25,12293.0,3,1,2,312,Regular Customers
Cathy Hwang,90,29,15667.0,1,2,3,123,Regular Customers
Cathy Prescott,70,33,19770.0,1,3,4,134,At Risk
Chad Cunningham,52,30,12522.0,1,2,2,122,Lost Customers
Chad McGuire,9,23,16566.0,4,1,4,414,Potential Loyalists
Chad Sievert,12,26,12348.0,4,1,2,412,Regular Customers
Charles Crestani,83,30,13350.0,1,2,2,122,Lost Customers
Charles McCrossin,27,31,20156.0,2,3,5,235,At Risk
Charles Sheldon,58,34,20050.0,1,4,5,145,At Risk
Charlotte Melton,1,29,12827.0,5,2,2,522,Regular Customers
Chloris Kastensmidt,5,43,14572.0,5,5,3,553,Loyal Customers
Chris Cortes,21,44,11483.0,3,5,1,351,Regular Customers
Chris McAfee,43,27,11621.0,1,1,2,112,Lost Customers
Chris Selesnick,3,34,14418.0,5,4,3,543,Loyal Customers
Christina Anderson,35,38,21835.0,2,5,5,255,At Risk
Christina DeMoss,13,31,17986.0,4,3,4,434,Potential Loyalists
Christina VanderZanden,40,29,10327.0,1,2,1,121,Lost Customers
Christine Abelman,14,26,7803.0,3,1,1,311,Regular Customers
Christine Kargatis,1,35,13055.0,5,4,2,542,Loyal Customers
Christine Phan,9,34,25157.0,4,4,5,445,Loyal Customers
Christine Sundaresam,7,40,10546.0,4,5,1,451,Loyal Customers
Christopher Conant,7,39,35187.0,4,5,5,455,Champions
Christopher Martinez,38,29,22460.0,1,2,5,125,Regular Customers
Christopher Schild,2,28,12516.0,5,1,2,512,Regular Customers
Christy Brittain,27,27,13938.0,2,1,2,212,Lost Customers
Chuck Clark,1,31,15040.0,5,3,3,533,Potential Loyalists
Chuck Magee,16,29,13715.0,3,2,2,322,Regular Customers
Chuck Sachs,7,31,22759.0,4,3,5,435,Potential Loyalists
Cindy Chapman,17,37,20866.0,3,4,5,345,Regular Customers
Cindy Schnelling,3,33,12775.0,5,3,2,532,Regular Customers
Cindy Stewart,28,23,13432.0,2,1,2,212,Lost Customers
Claire Gute,29,25,14662.0,2,1,3,213,Regular Customers
Claudia Bergmann,8,29,18261.0,4,2,4,424,Potential Loyalists
Clay Cheatham,28,30,9345.0,2,2,1,221,Lost Customers
Clay Ludtke,6,36,19784.0,5,4,4,544,Loyal Customers
Clay Rozendal,23,25,11759.0,3,1,2,312,Regular Customers
Clytie Kelty,44,36,17141.0,1,4,4,144,At Risk
Corey Catlett,17,32,17604.0,3,3,4,334,Regular Customers
Corey Roper,44,37,22354.0,1,4,5,145,At Risk
Corey-Lock,5,30,13049.0,5,2,2,522,Regular Customers
Corinna Mitchell,28,30,15580.0,2,2,3,223,Regular Customers
Craig Carreira,17,34,11497.0,3,4,1,341,Regular Customers
Craig Carroll,55,25,16815.0,1,1,4,114,Regular Customers
Craig Leslie,9,35,19378.0,4,4,4,444,Loyal Customers
Craig Molinari,42,26,11230.0,1,1,1,111,Lost Customers
Craig Reiter,6,35,20848.0,5,4,5,545,Champions
Craig Yedwab,61,35,14220.0,1,4,3,143,At Risk
Cyma Kinney,38,38,10596.0,1,5,1,151,At Risk
Cynthia Arntzen,94,30,19834.0,1,2,4,124,Regular Customers
Cynthia Delaney,77,32,14500.0,1,3,3,133,At Risk
Cynthia Voltz,5,27,14857.0,5,1,3,513,Potential Loyalists
Cyra Reiten,56,32,15657.0,1,3,3,133,At Risk
Damala Kotsonis,22,43,20961.0,3,5,5,355,Regular Customers
Dan Campbell,35,38,13439.0,2,5,2,252,At Risk
Dan Lawera,58,41,12690.0,1,5,2,152,At Risk
Dan Reichenbach,4,40,16705.0,5,5,4,554,Champions
Dana Kaydos,46,28,19638.0,1,1,4,114,Regular Customers
Daniel Byrd,3,35,15392.0,5,4,3,543,Loyal Customers
Daniel Lacy,38,28,12201.0,1,1,2,112,Lost Customers
Daniel Raglin,28,41,27932.0,2,5,5,255,At Risk
Dario Medina,13,41,22297.0,4,5,5,455,Champions
Darren Budd,58,15,9681.0,1,1,1,111,Lost Customers
Darren Koutras,2,36,14903.0,5,4,3,543,Loyal Customers
Darren Powers,15,41,15980.0,3,5,3,353,Regular Customers
Darrin Martin,3,36,17733.0,5,4,4,544,Loyal Customers
Darrin Sayre,49,32,13283.0,1,3,2,132,At Risk
Darrin Van Huff,20,37,22749.0,3,4,5,345,Regular Customers
Dave Brooks,9,34,25550.0,4,4,5,445,Loyal Customers
Dave Hallsten,76,35,16191.0,1,4,3,143,At Risk
Dave Kipp,9,39,19456.0,4,5,4,454,Loyal Customers
Dave Poirier,7,31,25901.0,4,3,5,435,Potential Loyalists
David Bremer,6,20,6275.0,5,1,1,511,Regular Customers
David Flashing,10,22,11540.0,4,1,1,411,Regular Customers
David Kendrick,11,36,17559.0,4,4,4,444,Loyal Customers
David Philippe,8,31,23730.0,4,3,5,435,Potential Loyalists
David Smith,15,33,13634.0,3,3,2,332,Regular Customers
David Wiener,7,30,10930.0,4,2,1,421,Regular Customers
Dean Braden,8,34,14132.0,4,4,3,443,Loyal Customers
Dean Katz,2,37,10652.0,5,4,1,541,Loyal Customers
Dean percer,19,35,22833.0,3,4,5,345,Regular Customers
Deanra Eno,20,30,12799.0,3,2,2,322,Regular Customers
Deborah Brumfield,10,27,12578.0,4,1,2,412,Regular Customers
Debra Catini,19,27,16972.0,3,1,4,314,Regular Customers
Deirdre Greer,15,34,16715.0,3,4,4,344,Regular Customers
Delfina Latchford,19,33,20252.0,3,3,5,335,Regular Customers
Denise Leinenbach,13,37,17936.0,4,4,4,444,Loyal Customers
Denise Monton,3,33,22051.0,5,3,5,535,Potential Loyalists
Dennis Bolton,48,30,10610.0,1,2,1,121,Lost Customers
Dennis Kane,5,36,20103.0,5,4,5,545,Champions
Dennis Pardue,1,33,11661.0,5,3,2,532,Regular Customers
Denny Blanton,29,28,16634.0,2,1,4,214,Regular Customers
Denny Joy,2,32,22561.0,5,3,5,535,Potential Loyalists
Denny Ordway,37,42,18797.0,2,5,4,254,At Risk
Dianna Arnett,14,29,15248.0,3,2,3,323,Regular Customers
Dianna Vittorini,14,25,16951.0,3,1,4,314,Regular Customers
Dianna Wilson,56,35,23456.0,1,4,5,145,At Risk
Dionis Lloyd,23,32,16648.0,3,3,4,334,Regular Customers
Don Jones,7,38,21395.0,4,5,5,455,Champions
Don Miller,36,25,11836.0,2,1,2,212,Lost Customers
Don Weiss,13,24,14384.0,4,1,3,413,Potential Loyalists
Dorothy Badders,6,25,10384.0,5,1,1,511,Regular Customers
Dorothy Dickinson,42,32,11071.0,1,3,1,131,At Risk
Dorothy Wardle,6,41,12606.0,5,5,2,552,Loyal Customers
Dorris liebe,6,30,14720.0,5,2,3,523,Potential Loyalists
Doug Bickford,28,32,12855.0,2,3,2,232,At Risk
Doug Jacobs,13,33,13852.0,4,3,2,432,Regular Customers
Doug O'Connell,27,30,13772.0,2,2,2,222,Lost Customers
Duane Benoit,13,23,13604.0,4,1,2,412,Regular Customers
Duane Huffman,21,29,12477.0,3,2,2,322,Regular Customers
Duane Noonan,13,29,14915.0,4,2,3,423,Potential Loyalists
Ed Braxton,49,33,15525.0,1,3,3,133,At Risk
Ed Jacobs,50,30,10699.0,1,2,1,121,Lost Customers
Ed Ludwig,27,34,14209.0,2,4,3,243,At Risk
Edward Becker,33,26,9428.0,2,1,1,211,Lost Customers
Edward Hooks,3,38,21272.0,5,5,5,555,Champions
Edward Nazzal,15,28,7072.0,3,2,1,321,Regular Customers
Eileen Kiefer,45,23,7124.0,1,1,1,111,Lost Customers
Eleni McCrary,59,29,14584.0,1,2,3,123,Regular Customers
Elizabeth Moffitt,56,32,14508.0,1,3,3,133,At Risk
Ellis Ballard,3,31,21986.0,5,3,5,535,Potential Loyalists
Elpida Rittenbach,54,26,17131.0,1,1,4,114,Regular Customers
Emily Burns,16,24,7037.0,3,1,1,311,Regular Customers
Emily Ducich,16,39,18549.0,3,5,4,354,Regular Customers
Emily Grady,23,32,23114.0,3,3,5,335,Regular Customers
Emily Phan,13,36,16770.0,4,4,4,444,Loyal Customers
Eric Barreto,8,27,11967.0,4,1,2,412,Regular Customers
Eric Hoffmann,58,36,10351.0,1,4,1,141,At Risk
Eric Murdock,3,45,28085.0,5,5,5,555,Champions
Erica Bern,1,41,16119.0,5,5,3,553,Loyal Customers
Erica Hackney,34,32,9481.0,2,3,1,231,At Risk
Erica Hernandez,3,35,13008.0,5,4,2,542,Loyal Customers
Erica Smith,1,39,14719.0,5,5,3,553,Loyal Customers
Erin Ashbrook,94,34,11521.0,1,4,1,141,At Risk
Erin Creighton,54,26,6731.0,1,1,1,111,Lost Customers
Erin Mull,17,26,15321.0,3,1,3,313,Regular Customers
Erin Smith,29,33,18160.0,2,3,4,234,At Risk
Eudokia Martin,9,26,13723.0,4,1,2,412,Regular Customers
Eugene Barchas,21,34,16085.0,3,4,3,343,Regular Customers
Eugene Hildebrand,23,44,22424.0,3,5,5,355,Regular Customers
Eugene Moren,25,36,23411.0,2,4,5,245,At Risk
Eva Jacobs,23,28,14957.0,3,2,3,323,Regular Customers
Evan Bailliet,20,29,8006.0,3,2,1,321,Regular Customers
Evan Henry,68,37,16377.0,1,4,3,143,At Risk
Evan Minnotte,42,27,19672.0,1,1,4,114,Regular Customers
Filia McAdams,8,37,17287.0,4,4,4,444,Loyal Customers
Frank Atkinson,23,35,14350.0,3,4,3,343,Regular Customers
Frank Carlisle,43,29,12410.0,1,2,2,122,Lost Customers
Frank Gastineau,35,27,9704.0,2,1,1,211,Lost Customers
Frank Hawley,5,28,13686.0,5,2,2,522,Regular Customers
Frank Merwin,3,38,16388.0,5,5,4,554,Champions
Frank Olsen,23,47,17775.0,3,5,4,354,Regular Customers
Frank Preis,24,34,10760.0,2,4,1,241,At Risk
Fred Chung,108,27,9323.0,1,1,1,111,Lost Customers
Fred Harton,2,23,10766.0,5,1,1,511,Regular Customers
Fred Hopkins,2,39,30404.0,5,5,5,555,Champions
Fred McMath,2,27,7441.0,5,1,1,511,Regular Customers
Fred Wasserman,1,34,18194.0,5,4,4,544,Loyal Customers
Gary Hansen,21,45,15269.0,3,5,3,353,Regular Customers
Gary Hwang,19,41,24629.0,3,5,5,355,Regular Customers
Gary McGarr,2,34,16518.0,5,4,4,544,Loyal Customers
Gary Mitchum,17,21,11011.0,3,1,1,311,Regular Customers
Gary Zandusky,8,43,24700.0,4,5,5,455,Champions
Gene Hale,52,25,15488.0,1,1,3,113,Regular Customers
Gene McClure,105,28,11003.0,1,2,1,121,Lost Customers
George Ashbrook,23,31,13806.0,3,3,2,332,Regular Customers
George Bell,34,30,12183.0,2,2,2,222,Lost Customers
George Zrebassa,31,30,15294.0,2,2,3,223,Regular Customers
Georgia Rosenberg,50,30,13850.0,1,2,2,122,Lost Customers
Giulietta Baptist,14,30,12570.0,3,2,2,322,Regular Customers
Giulietta Dortch,6,33,18705.0,5,3,4,534,Potential Loyalists
Giulietta Weimer,15,33,18071.0,3,3,4,334,Regular Customers
Grace Kelly,13,28,19982.0,4,2,5,425,Potential Loyalists
Grant Thornton,10,27,20226.0,4,1,5,415,Potential Loyalists
Greg Guthrie,34,33,13901.0,2,3,2,232,At Risk
Greg Hansen,2,38,13997.0,5,5,3,553,Loyal Customers
Greg Matthias,2,37,13600.0,5,4,2,542,Loyal Customers
Greg Maxwell,48,26,15355.0,1,1,3,113,Regular Customers
Greg Tran,9,34,35552.0,4,4,5,445,Loyal Customers
Guy Armstrong,3,28,10285.0,5,2,1,521,Regular Customers
Guy Phonely,2,33,15403.0,5,3,3,533,Potential Loyalists
Guy Thornton,1,31,9061.0,5,3,1,531,Regular Customers
Hallie Redmond,14,26,15680.0,3,1,3,313,Regular Customers
Harold Dahlen,43,36,20070.0,1,4,5,145,At Risk
Harold Engle,7,35,10993.0,4,4,1,441,Loyal Customers
Harold Pawlan,31,29,8517.0,2,2,1,221,Lost Customers
Harold Ryan,52,24,10034.0,1,1,1,111,Lost Customers
Harry Greene,13,39,24217.0,4,5,5,455,Champions
Harry Marie,2,41,28477.0,5,5,5,555,Champions
Heather Jas,6,38,15435.0,5,5,3,553,Loyal Customers
Heather Kirkland,44,33,15541.0,1,3,3,133,At Risk
Helen Abelman,14,28,16930.0,3,2,4,324,Regular Customers
Helen Andreada,21,31,10414.0,3,3,1,331,Regular Customers
Helen Wasserman,35,35,18372.0,2,4,4,244,At Risk
Henia Zydlo,36,28,12487.0,2,2,2,222,Lost Customers
Henry Goldwyn,24,39,17168.0,2,5,4,254,At Risk
Henry MacAllister,26,34,17128.0,2,4,4,244,At Risk
Herbert Flentye,15,36,11813.0,3,4,2,342,Regular Customers
Hilary Holden,55,27,15229.0,1,1,3,113,Regular Customers
Hunter Glantz,7,36,16214.0,4,4,3,443,Loyal Customers
Hunter Lopez,31,24,30246.0,2,1,5,215,Regular Customers
Ionia McGrath,16,22,9480.0,3,1,1,311,Regular Customers
Irene Maddox,41,34,19919.0,1,4,4,144,At Risk
Ivan Gibson,2,37,16151.0,5,4,3,543,Loyal Customers
Ivan Liston,117,32,12853.0,1,3,2,132,At Risk
Jack Garza,6,28,15708.0,5,2,3,523,Potential Loyalists
Jack Lebron,9,40,18673.0,4,5,4,454,Loyal Customers
Jack O'Briant,6,29,13348.0,5,2,2,522,Regular Customers
James Galang,2,40,21554.0,5,5,5,555,Champions
James Lanier,7,32,14847.0,4,3,3,433,Potential Loyalists
Jamie Frazer,7,36,20576.0,4,4,5,445,Loyal Customers
Jamie Kunitz,62,29,12533.0,1,2,2,122,Lost Customers
Jane Waco,13,40,30288.0,4,5,5,455,Champions
Janet Lee,2,28,20479.0,5,2,5,525,Potential Loyalists
Janet Martin,7,29,18017.0,4,2,4,424,Potential Loyalists
Janet Molinari,38,33,16168.0,1,3,3,133,At Risk
Jas O'Carroll,15,25,8819.0,3,1,1,311,Regular Customers
Jason Fortune-,57,32,22817.0,1,3,5,135,At Risk
Jason Gross,3,29,13570.0,5,2,2,522,Regular Customers
Jason Klamczynski,78,31,17200.0,1,3,4,134,At Risk
Jasper Cacioppo,35,35,18443.0,2,4,4,244,At Risk
Jay Fein,14,31,10818.0,3,3,1,331,Regular Customers
Jay Kimmel,2,33,13401.0,5,3,2,532,Regular Customers
Jenna Caffey,9,34,16161.0,4,4,3,443,Loyal Customers
Jennifer Braxton,8,41,15258.0,4,5,3,453,Loyal Customers
Jennifer Ferguson,3,34,22947.0,5,4,5,545,Champions
Jennifer Halladay,6,40,12692.0,5,5,2,552,Loyal Customers
Jennifer Jackson,20,25,12191.0,3,1,2,312,Regular Customers
Jennifer Patt,37,36,14212.0,2,4,3,243,At Risk
Jeremy Ellison,28,30,6818.0,2,2,1,221,Lost Customers
Jeremy Farry,5,37,10722.0,5,4,1,541,Loyal Customers
Jeremy Lonsdale,31,25,11362.0,2,1,1,211,Lost Customers
Jeremy Pistek,9,30,18659.0,4,2,4,424,Potential Loyalists
Jessica Myrick,15,25,7789.0,3,1,1,311,Regular Customers
Jesus Ocampo,13,28,8209.0,4,2,1,421,Regular Customers
Jill Fjeld,2,35,23621.0,5,4,5,545,Champions
Jill Matthias,1,29,14181.0,5,2,3,523,Potential Loyalists
Jill Stevenson,6,24,10142.0,5,1,1,511,Regular Customers
Jim Epp,43,32,13952.0,1,3,3,133,At Risk
Jim Karlsson,2,35,17121.0,5,4,4,544,Loyal Customers
Jim Kriz,1,30,13071.0,5,2,2,522,Regular Customers
Jim Mitchum,9,42,19899.0,4,5,4,454,Loyal Customers
Jim Radford,13,26,15925.0,4,1,3,413,Potential Loyalists
Jim Sink,41,31,16281.0,1,3,3,133,At Risk
Jocasta Rupert,8,24,11242.0,4,1,1,411,Regular Customers
Joe Elijah,10,43,22452.0,4,5,5,455,Champions
Joe Kamberova,49,40,26689.0,1,5,5,155,At Risk
Joel Eaton,33,42,21905.0,2,5,5,255,At Risk
Joel Jenkins,3,34,19993.0,5,4,5,545,Champions
John Castell,2,30,12298.0,5,2,2,522,Regular Customers
John Dryer,16,29,11591.0,3,2,2,322,Regular Customers
John Grady,1,40,22219.0,5,5,5,555,Champions
John Huston,14,38,25947.0,3,5,5,355,Regular Customers
John Lee,22,37,25979.0,3,4,5,345,Regular Customers
John Lucas,45,26,10503.0,1,1,1,111,Lost Customers
John Murray,69,35,22386.0,1,4,5,145,At Risk
John Stevenson,12,26,12189.0,4,1,2,412,Regular Customers
Jonathan Doherty,3,38,19481.0,5,5,4,554,Champions
Jonathan Howell,41,40,16544.0,1,5,4,154,At Risk
Joni Blumstein,10,27,13339.0,4,1,2,412,Regular Customers
Joni Sundaresam,6,28,6809.0,5,2,1,521,Regular Customers
Joni Wasserman,6,32,10949.0,5,3,1,531,Regular Customers
Joseph Airdo,1,32,18169.0,5,3,4,534,Potential Loyalists
Joseph Holt,12,45,20939.0,4,5,5,455,Champions
Joy Bell-,2,39,24011.0,5,5,5,555,Champions
Joy Daniels,43,32,11346.0,1,3,1,131,At Risk
Joy Smith,22,36,20793.0,3,4,5,345,Regular Customers
Julia Barnett,1,34,17087.0,5,4,4,544,Loyal Customers
Julia Dunbar,66,28,11228.0,1,2,1,121,Lost Customers
Julia West,2,29,20598.0,5,2,5,525,Potential Loyalists
Juliana Krohn,9,38,23136.0,4,5,5,455,Champions
Julie Creighton,58,34,14996.0,1,4,3,143,At Risk
Julie Kriz,98,32,15648.0,1,3,3,133,At Risk
Julie Prescott,27,42,14594.0,2,5,3,253,At Risk
Justin Deggeller,1,34,23618.0,5,4,5,545,Champions
Justin Ellison,21,28,12910.0,3,2,2,322,Regular Customers
Justin Hirsh,28,40,23918.0,2,5,5,255,At Risk
Justin MacKendrick,13,33,9027.0,4,3,1,431,Regular Customers
Justin Ritter,19,27,13625.0,3,1,2,312,Regular Customers
Kalyca Meade,1,21,8643.0,5,1,1,511,Regular Customers
Karen Bern,5,34,11846.0,5,4,2,542,Loyal Customers
Karen Carlisle,45,35,10416.0,1,4,1,141,At Risk
Karen Daniels,37,30,24018.0,2,2,5,225,Regular Customers
Karen Ferguson,33,30,18267.0,2,2,4,224,Regular Customers
Karen Seio,36,25,5325.0,2,1,1,211,Lost Customers
Karl Braun,3,40,17494.0,5,5,4,554,Champions
Katharine Harms,17,39,18414.0,3,5,4,354,Regular Customers
Katherine Ducich,42,21,11696.0,1,1,2,112,Lost Customers
Katherine Hughes,2,35,12210.0,5,4,2,542,Loyal Customers
Katherine Murray,3,33,18522.0,5,3,4,534,Potential Loyalists
Katherine Nockton,20,32,19669.0,3,3,4,334,Regular Customers
Katrina Bavinger,20,31,14027.0,3,3,3,333,Regular Customers
Katrina Edelman,27,35,13553.0,2,4,2,242,At Risk
Katrina Willman,27,27,15747.0,2,1,3,213,Regular Customers
Kean Nguyen,38,34,18064.0,1,4,4,144,At Risk
Kean Takahito,44,39,17257.0,1,5,4,154,At Risk
Kean Thornton,28,27,8362.0,2,1,1,211,Lost Customers
