customer_name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment,Customer_Cluster
Bill Shonely,1,31,23511.0,5,2,5,525,Potential Loyalists,2
Bill Stewart,29,28,18776.0,2,1,4,214,Regular Customers,1
Bill Tyler,29,28,11798.0,2,1,2,212,Lost Customers,1
Bobby Elias,22,37,18411.0,3,4,4,344,Regular Customers,2
Bobby Odegard,2,29,15029.0,5,2,3,523,Potential Loyalists,1
Bobby Trafton,52,31,10400.0,1,3,1,131,At Risk,1
Brad Eason,4,29,18986.0,5,2,4,524,Potential Loyalists,1
Brad Norvell,12,36,26200.0,4,4,5,445,Loyal Customers,2
Brad Thomas,31,38,11683.0,2,5,2,252,At Risk,1
Bradley Drucker,20,30,13142.0,3,2,2,322,Regular Customers,1
Bradley Nguyen,10,31,12878.0,4,3,2,432,Regular Customers,1
Bradley Talbott,34,32,15343.0,2,3,3,233,At Risk,1
Brenda Bowman,29,31,16007.0,2,3,3,233,At Risk,1
Brendan Dodson,8,24,10920.0,4,1,1,411,Regular Customers,1
Brendan Murry,35,34,12055.0,2,3,2,232,At Risk,1
Brendan Sweed,36,28,12179.0,2,1,2,212,Lost Customers,1
Brian Dahlen,98,24,9890.0,1,1,1,111,Lost Customers,0
Brian DeCherney,50,36,10772.0,1,4,1,141,At Risk,1
Brian Derr,10,34,16917.0,4,3,4,434,Potential Loyalists,2
Brian Moss,34,32,17459.0,2,3,4,234,At Risk,1
Brian Stugart,30,31,22573.0,2,3,5,235,At Risk,2
Brian Thompson,19,26,14896.0,3,1,3,313,Regular Customers,1
Brooke Gillingham,10,24,11213.0,4,1,1,411,Regular Customers,1
Brosina Hoffman,24,41,28120.0,2,5,5,255,At Risk,2
Bruce Degenhardt,5,43,15959.0,5,5,3,553,Loyal Customers,2
Bruce Geld,7,28,15381.0,4,1,3,413,Potential Loyalists,1
Bruce Stewart,2,34,19234.0,5,3,4,534,Potential Loyalists,2
Bryan Davis,36,31,13571.0,2,3,2,232,At Risk,1
Bryan Mills,3,45,20689.0,5,5,5,555,Champions,2
Bryan Spruell,10,30,17253.0,4,2,4,424,Potential Loyalists,1
Candace McMahon,41,28,14798.0,1,1,3,113,Regular Customers,1
Cari MacIntyre,7,37,21608.0,4,4,5,445,Loyal Customers,2
Cari Sayre,16,34,22067.0,3,4,5,345,Regular Customers,2
Cari Schnelling,51,30,12179.0,1,2,2,122,Lost Customers,1
Carl Jackson,14,29,13972.0,3,2,3,323,Regular Customers,1
Carl Ludwig,14,40,18180.0,3,5,4,354,Regular Customers,2
Carl Weiss,9,29,14357.0,4,2,3,423,Potential Loyalists,1
Carlos Daly,3,31,20117.0,5,3,5,535,Potential Loyalists,2
Carlos Meador,37,25,10148.0,2,1,1,211,Lost Customers,1
Carlos Soltero,26,36,14936.0,2,4,3,243,At Risk,2
Carol Adams,19,34,23993.0,3,4,5,345,Regular Customers,2
Carol Darley,2,30,13232.0,5,2,2,522,Regular Customers,1
Carol Triggs,29,29,14139.0,2,2,3,223,Regular Customers,1
Caroline Jumper,34,29,19582.0,2,2,4,224,Regular Customers,1
Cassandra Brandow,10,30,13529.0,4,2,2,422,Regular Customers,1
Catherine Glotzbach,22,24,4116.0,3,1,1,311,Regular Customers,1
Cathy Armstrong,14,25,12293.0,3,1,2,312,Regular Customers,1
Cathy Hwang,90,29,15667.0,1,2,3,123,Regular Customers,0
Cathy Prescott,70,33,19770.0,1,3,4,134,At Risk,0
Chad Cunningham,52,30,12522.0,1,2,2,122,Lost Customers,1
Chad McGuire,9,23,16566.0,4,1,4,414,Potential Loyalists,1
Chad Sievert,12,26,12348.0,4,1,2,412,Regular Customers,1
Charles Crestani,83,30,13350.0,1,2,2,122,Lost Customers,0
Charles McCrossin,27,31,20156.0,2,3,5,235,At Risk,2
Charles Sheldon,58,34,20050.0,1,4,5,145,At Risk,2
Charlotte Melton,1,29,12827.0,5,2,2,522,Regular Customers,1
Chloris Kastensmidt,5,43,14572.0,5,5,3,553,Loyal Customers,2
Chris Cortes,21,44,11483.0,3,5,1,351,Regular Customers,2
Chris McAfee,43,27,11621.0,1,1,2,112,Lost Customers,1
Chris Selesnick,3,34,14418.0,5,4,3,543,Loyal Customers,1
Christina Anderson,35,38,21835.0,2,5,5,255,At Risk,2
Christina DeMoss,13,31,17986.0,4,3,4,434,Potential Loyalists,1
Christina VanderZanden,40,29,10327.0,1,2,1,121,Lost Customers,1
Christine Abelman,14,26,7803.0,3,1,1,311,Regular Customers,1
Christine Kargatis,1,35,13055.0,5,4,2,542,Loyal Customers,1
Christine Phan,9,34,25157.0,4,4,5,445,Loyal Customers,2
Christine Sundaresam,7,40,10546.0,4,5,1,451,Loyal Customers,2
Christopher Conant,7,39,35187.0,4,5,5,455,Champions,2
Christopher Martinez,38,29,22460.0,1,2,5,125,Regular Customers,2
Christopher Schild,2,28,12516.0,5,1,2,512,Regular Customers,1
Christy Brittain,27,27,13938.0,2,1,2,212,Lost Customers,1
Chuck Clark,1,31,15040.0,5,3,3,533,Potential Loyalists,1
Chuck Magee,16,29,13715.0,3,2,2,322,Regular Customers,1
Chuck Sachs,7,31,22759.0,4,3,5,435,Potential Loyalists,2
Cindy Chapman,17,37,20866.0,3,4,5,345,Regular Customers,2
Cindy Schnelling,3,33,12775.0,5,3,2,532,Regular Customers,1
Cindy Stewart,28,23,13432.0,2,1,2,212,Lost Customers,1
Claire Gute,29,25,14662.0,2,1,3,213,Regular Customers,1
Claudia Bergmann,8,29,18261.0,4,2,4,424,Potential Loyalists,1
Clay Cheatham,28,30,9345.0,2,2,1,221,Lost Customers,1
Clay Ludtke,6,36,19784.0,5,4,4,544,Loyal Customers,2
Clay Rozendal,23,25,11759.0,3,1,2,312,Regular Customers,1
Clytie Kelty,44,36,17141.0,1,4,4,144,At Risk,2
Corey Catlett,17,32,17604.0,3,3,4,334,Regular Customers,2
Corey Roper,44,37,22354.0,1,4,5,145,At Risk,2
Corey-Lock,5,30,13049.0,5,2,2,522,Regular Customers,1
Corinna Mitchell,28,30,15580.0,2,2,3,223,Regular Customers,1
Craig Carreira,17,34,11497.0,3,4,1,341,Regular Customers,1
Craig Carroll,55,25,16815.0,1,1,4,114,Regular Customers,1
Craig Leslie,9,35,19378.0,4,4,4,444,Loyal Customers,2
Craig Molinari,42,26,11230.0,1,1,1,111,Lost Customers,1
Craig Reiter,6,35,20848.0,5,4,5,545,Champions,2
Craig Yedwab,61,35,14220.0,1,4,3,143,At Risk,0
Cyma Kinney,38,38,10596.0,1,5,1,151,At Risk,1
Cynthia Arntzen,94,30,19834.0,1,2,4,124,Regular Customers,0
Cynthia Delaney,77,32,14500.0,1,3,3,133,At Risk,0
Cynthia Voltz,5,27,14857.0,5,1,3,513,Potential Loyalists,1
Cyra Reiten,56,32,15657.0,1,3,3,133,At Risk,1
Damala Kotsonis,22,43,20961.0,3,5,5,355,Regular Customers,2
Dan Campbell,35,38,13439.0,2,5,2,252,At Risk,2
Dan Lawera,58,41,12690.0,1,5,2,152,At Risk,2
Dan Reichenbach,4,40,16705.0,5,5,4,554,Champions,2
Dana Kaydos,46,28,19638.0,1,1,4,114,Regular Customers,1
Daniel Byrd,3,35,15392.0,5,4,3,543,Loyal Customers,2
Daniel Lacy,38,28,12201.0,1,1,2,112,Lost Customers,1
Daniel Raglin,28,41,27932.0,2,5,5,255,At Risk,2
Dario Medina,13,41,22297.0,4,5,5,455,Champions,2
Darren Budd,58,15,9681.0,1,1,1,111,Lost Customers,1
Darren Koutras,2,36,14903.0,5,4,3,543,Loyal Customers,2
Darren Powers,15,41,15980.0,3,5,3,353,Regular Customers,2
Darrin Martin,3,36,17733.0,5,4,4,544,Loyal Customers,2
Darrin Sayre,49,32,13283.0,1,3,2,132,At Risk,1
Darrin Van Huff,20,37,22749.0,3,4,5,345,Regular Customers,2
Dave Brooks,9,34,25550.0,4,4,5,445,Loyal Customers,2
Dave Hallsten,76,35,16191.0,1,4,3,143,At Risk,0
Dave Kipp,9,39,19456.0,4,5,4,454,Loyal Customers,2
Dave Poirier,7,31,25901.0,4,3,5,435,Potential Loyalists,2
David Bremer,6,20,6275.0,5,1,1,511,Regular Customers,1
David Flashing,10,22,11540.0,4,1,1,411,Regular Customers,1
David Kendrick,11,36,17559.0,4,4,4,444,Loyal Customers,2
David Philippe,8,31,23730.0,4,3,5,435,Potential Loyalists,2
David Smith,15,33,13634.0,3,3,2,332,Regular Customers,1
David Wiener,7,30,10930.0,4,2,1,421,Regular Customers,1
Dean Braden,8,34,14132.0,4,4,3,443,Loyal Customers,1
Dean Katz,2,37,10652.0,5,4,1,541,Loyal Customers,1
Dean percer,19,35,22833.0,3,4,5,345,Regular Customers,2
Deanra Eno,20,30,12799.0,3,2,2,322,Regular Customers,1
Deborah Brumfield,10,27,12578.0,4,1,2,412,Regular Customers,1
Debra Catini,19,27,16972.0,3,1,4,314,Regular Customers,1
Deirdre Greer,15,34,16715.0,3,4,4,344,Regular Customers,2
Delfina Latchford,19,33,20252.0,3,3,5,335,Regular Customers,2
Denise Leinenbach,13,37,17936.0,4,4,4,444,Loyal Customers,2
Denise Monton,3,33,22051.0,5,3,5,535,Potential Loyalists,2
Dennis Bolton,48,30,10610.0,1,2,1,121,Lost Customers,1
Dennis Kane,5,36,20103.0,5,4,5,545,Champions,2
Dennis Pardue,1,33,11661.0,5,3,2,532,Regular Customers,1
Denny Blanton,29,28,16634.0,2,1,4,214,Regular Customers,1
Denny Joy,2,32,22561.0,5,3,5,535,Potential Loyalists,2
Denny Ordway,37,42,18797.0,2,5,4,254,At Risk,2
Dianna Arnett,14,29,15248.0,3,2,3,323,Regular Customers,1
Dianna Vittorini,14,25,16951.0,3,1,4,314,Regular Customers,1
Dianna Wilson,56,35,23456.0,1,4,5,145,At Risk,2
Dionis Lloyd,23,32,16648.0,3,3,4,334,Regular Customers,1
Don Jones,7,38,21395.0,4,5,5,455,Champions,2
Don Miller,36,25,11836.0,2,1,2,212,Lost Customers,1
Don Weiss,13,24,14384.0,4,1,3,413,Potential Loyalists,1
Dorothy Badders,6,25,10384.0,5,1,1,511,Regular Customers,1
Dorothy Dickinson,42,32,11071.0,1,3,1,131,At Risk,1
Dorothy Wardle,6,41,12606.0,5,5,2,552,Loyal Customers,2
Dorris liebe,6,30,14720.0,5,2,3,523,Potential Loyalists,1
Doug Bickford,28,32,12855.0,2,3,2,232,At Risk,1
Doug Jacobs,13,33,13852.0,4,3,2,432,Regular Customers,1
Doug O'Connell,27,30,13772.0,2,2,2,222,Lost Customers,1
Duane Benoit,13,23,13604.0,4,1,2,412,Regular Customers,1
Duane Huffman,21,29,12477.0,3,2,2,322,Regular Customers,1
Duane Noonan,13,29,14915.0,4,2,3,423,Potential Loyalists,1
Ed Braxton,49,33,15525.0,1,3,3,133,At Risk,1
Ed Jacobs,50,30,10699.0,1,2,1,121,Lost Customers,1
Ed Ludwig,27,34,14209.0,2,4,3,243,At Risk,1
Edward Becker,33,26,9428.0,2,1,1,211,Lost Customers,1
Edward Hooks,3,38,21272.0,5,5,5,555,Champions,2
Edward Nazzal,15,28,7072.0,3,2,1,321,Regular Customers,1
Eileen Kiefer,45,23,7124.0,1,1,1,111,Lost Customers,1
Eleni McCrary,59,29,14584.0,1,2,3,123,Regular Customers,1
Elizabeth Moffitt,56,32,14508.0,1,3,3,133,At Risk,1
Ellis Ballard,3,31,21986.0,5,3,5,535,Potential Loyalists,2
Elpida Rittenbach,54,26,17131.0,1,1,4,114,Regular Customers,1
Emily Burns,16,24,7037.0,3,1,1,311,Regular Customers,1
Emily Ducich,16,39,18549.0,3,5,4,354,Regular Customers,2
Emily Grady,23,32,23114.0,3,3,5,335,Regular Customers,2
Emily Phan,13,36,16770.0,4,4,4,444,Loyal Customers,2
Eric Barreto,8,27,11967.0,4,1,2,412,Regular Customers,1
Eric Hoffmann,58,36,10351.0,1,4,1,141,At Risk,1
Eric Murdock,3,45,28085.0,5,5,5,555,Champions,2
Erica Bern,1,41,16119.0,5,5,3,553,Loyal Customers,2
Erica Hackney,34,32,9481.0,2,3,1,231,At Risk,1
Erica Hernandez,3,35,13008.0,5,4,2,542,Loyal Customers,1
Erica Smith,1,39,14719.0,5,5,3,553,Loyal Customers,2
Erin Ashbrook,94,34,11521.0,1,4,1,141,At Risk,0
Erin Creighton,54,26,6731.0,1,1,1,111,Lost Customers,1
Erin Mull,17,26,15321.0,3,1,3,313,Regular Customers,1
Erin Smith,29,33,18160.0,2,3,4,234,At Risk,2
Eudokia Martin,9,26,13723.0,4,1,2,412,Regular Customers,1
Eugene Barchas,21,34,16085.0,3,4,3,343,Regular Customers,2
Eugene Hildebrand,23,44,22424.0,3,5,5,355,Regular Customers,2
Eugene Moren,25,36,23411.0,2,4,5,245,At Risk,2
Eva Jacobs,23,28,14957.0,3,2,3,323,Regular Customers,1
Evan Bailliet,20,29,8006.0,3,2,1,321,Regular Customers,1
Evan Henry,68,37,16377.0,1,4,3,143,At Risk,0
Evan Minnotte,42,27,19672.0,1,1,4,114,Regular Customers,1
Filia McAdams,8,37,17287.0,4,4,4,444,Loyal Customers,2
Frank Atkinson,23,35,14350.0,3,4,3,343,Regular Customers,1
Frank Carlisle,43,29,12410.0,1,2,2,122,Lost Customers,1
Frank Gastineau,35,27,9704.0,2,1,1,211,Lost Customers,1
Frank Hawley,5,28,13686.0,5,2,2,522,Regular Customers,1
Frank Merwin,3,38,16388.0,5,5,4,554,Champions,2
Frank Olsen,23,47,17775.0,3,5,4,354,Regular Customers,2
Frank Preis,24,34,10760.0,2,4,1,241,At Risk,1
Fred Chung,108,27,9323.0,1,1,1,111,Lost Customers,0
Fred Harton,2,23,10766.0,5,1,1,511,Regular Customers,1
Fred Hopkins,2,39,30404.0,5,5,5,555,Champions,2
Fred McMath,2,27,7441.0,5,1,1,511,Regular Customers,1
Fred Wasserman,1,34,18194.0,5,4,4,544,Loyal Customers,2
Gary Hansen,21,45,15269.0,3,5,3,353,Regular Customers,2
Gary Hwang,19,41,24629.0,3,5,5,355,Regular Customers,2
Gary McGarr,2,34,16518.0,5,4,4,544,Loyal Customers,2
Gary Mitchum,17,21,11011.0,3,1,1,311,Regular Customers,1
Gary Zandusky,8,43,24700.0,4,5,5,455,Champions,2
Gene Hale,52,25,15488.0,1,1,3,113,Regular Customers,1
Gene McClure,105,28,11003.0,1,2,1,121,Lost Customers,0
George Ashbrook,23,31,13806.0,3,3,2,332,Regular Customers,1
George Bell,34,30,12183.0,2,2,2,222,Lost Customers,1
George Zrebassa,31,30,15294.0,2,2,3,223,Regular Customers,1
Georgia Rosenberg,50,30,13850.0,1,2,2,122,Lost Customers,1
Giulietta Baptist,14,30,12570.0,3,2,2,322,Regular Customers,1
Giulietta Dortch,6,33,18705.0,5,3,4,534,Potential Loyalists,2
Giulietta Weimer,15,33,18071.0,3,3,4,334,Regular Customers,2
Grace Kelly,13,28,19982.0,4,2,5,425,Potential Loyalists,1
Grant Thornton,10,27,20226.0,4,1,5,415,Potential Loyalists,1
Greg Guthrie,34,33,13901.0,2,3,2,232,At Risk,1
Greg Hansen,2,38,13997.0,5,5,3,553,Loyal Customers,2
Greg Matthias,2,37,13600.0,5,4,2,542,Loyal Customers,2
Greg Maxwell,48,26,15355.0,1,1,3,113,Regular Customers,1
Greg Tran,9,34,35552.0,4,4,5,445,Loyal Customers,2
Guy Armstrong,3,28,10285.0,5,2,1,521,Regular Customers,1
Guy Phonely,2,33,15403.0,5,3,3,533,Potential Loyalists,1
Guy Thornton,1,31,9061.0,5,3,1,531,Regular Customers,1
Hallie Redmond,14,26,15680.0,3,1,3,313,Regular Customers,1
Harold Dahlen,43,36,20070.0,1,4,5,145,At Risk,2
Harold Engle,7,35,10993.0,4,4,1,441,Loyal Customers,1
Harold Pawlan,31,29,8517.0,2,2,1,221,Lost Customers,1
Harold Ryan,52,24,10034.0,1,1,1,111,Lost Customers,1
Harry Greene,13,39,24217.0,4,5,5,455,Champions,2
Harry Marie,2,41,28477.0,5,5,5,555,Champions,2
Heather Jas,6,38,15435.0,5,5,3,553,Loyal Customers,2
Heather Kirkland,44,33,15541.0,1,3,3,133,At Risk,1
Helen Abelman,14,28,16930.0,3,2,4,324,Regular Customers,1
Helen Andreada,21,31,10414.0,3,3,1,331,Regular Customers,1
Helen Wasserman,35,35,18372.0,2,4,4,244,At Risk,2
Henia Zydlo,36,28,12487.0,2,2,2,222,Lost Customers,1
Henry Goldwyn,24,39,17168.0,2,5,4,254,At Risk,2
Henry MacAllister,26,34,17128.0,2,4,4,244,At Risk,2
Herbert Flentye,15,36,11813.0,3,4,2,342,Regular Customers,1
Hilary Holden,55,27,15229.0,1,1,3,113,Regular Customers,1
Hunter Glantz,7,36,16214.0,4,4,3,443,Loyal Customers,2
Hunter Lopez,31,24,30246.0,2,1,5,215,Regular Customers,2
Ionia McGrath,16,22,9480.0,3,1,1,311,Regular Customers,1
Irene Maddox,41,34,19919.0,1,4,4,144,At Risk,2
Ivan Gibson,2,37,16151.0,5,4,3,543,Loyal Customers,2
Ivan Liston,117,32,12853.0,1,3,2,132,At Risk,0
Jack Garza,6,28,15708.0,5,2,3,523,Potential Loyalists,1
Jack Lebron,9,40,18673.0,4,5,4,454,Loyal Customers,2
Jack O'Briant,6,29,13348.0,5,2,2,522,Regular Customers,1
James Galang,2,40,21554.0,5,5,5,555,Champions,2
James Lanier,7,32,14847.0,4,3,3,433,Potential Loyalists,1
Jamie Frazer,7,36,20576.0,4,4,5,445,Loyal Customers,2
Jamie Kunitz,62,29,12533.0,1,2,2,122,Lost Customers,0
Jane Waco,13,40,30288.0,4,5,5,455,Champions,2
Janet Lee,2,28,20479.0,5,2,5,525,Potential Loyalists,1
Janet Martin,7,29,18017.0,4,2,4,424,Potential Loyalists,1
Janet Molinari,38,33,16168.0,1,3,3,133,At Risk,1
Jas O'Carroll,15,25,8819.0,3,1,1,311,Regular Customers,1
Jason Fortune-,57,32,22817.0,1,3,5,135,At Risk,2
Jason Gross,3,29,13570.0,5,2,2,522,Regular Customers,1
Jason Klamczynski,78,31,17200.0,1,3,4,134,At Risk,0
Jasper Cacioppo,35,35,18443.0,2,4,4,244,At Risk,2
Jay Fein,14,31,10818.0,3,3,1,331,Regular Customers,1
Jay Kimmel,2,33,13401.0,5,3,2,532,Regular Customers,1
Jenna Caffey,9,34,16161.0,4,4,3,443,Loyal Customers,2
Jennifer Braxton,8,41,15258.0,4,5,3,453,Loyal Customers,2
Jennifer Ferguson,3,34,22947.0,5,4,5,545,Champions,2
Jennifer Halladay,6,40,12692.0,5,5,2,552,Loyal Customers,2
Jennifer Jackson,20,25,12191.0,3,1,2,312,Regular Customers,1
Jennifer Patt,37,36,14212.0,2,4,3,243,At Risk,2
Jeremy Ellison,28,30,6818.0,2,2,1,221,Lost Customers,1
Jeremy Farry,5,37,10722.0,5,4,1,541,Loyal Customers,1
Jeremy Lonsdale,31,25,11362.0,2,1,1,211,Lost Customers,1
Jeremy Pistek,9,30,18659.0,4,2,4,424,Potential Loyalists,1
Jessica Myrick,15,25,7789.0,3,1,1,311,Regular Customers,1
Jesus Ocampo,13,28,8209.0,4,2,1,421,Regular Customers,1
Jill Fjeld,2,35,23621.0,5,4,5,545,Champions,2
Jill Matthias,1,29,14181.0,5,2,3,523,Potential Loyalists,1
Jill Stevenson,6,24,10142.0,5,1,1,511,Regular Customers,1
Jim Epp,43,32,13952.0,1,3,3,133,At Risk,1
Jim Karlsson,2,35,17121.0,5,4,4,544,Loyal Customers,2
Jim Kriz,1,30,13071.0,5,2,2,522,Regular Customers,1
Jim Mitchum,9,42,19899.0,4,5,4,454,Loyal Customers,2
Jim Radford,13,26,15925.0,4,1,3,413,Potential Loyalists,1
Jim Sink,41,31,16281.0,1,3,3,133,At Risk,1
Jocasta Rupert,8,24,11242.0,4,1,1,411,Regular Customers,1
Joe Elijah,10,43,22452.0,4,5,5,455,Champions,2
Joe Kamberova,49,40,26689.0,1,5,5,155,At Risk,2
Joel Eaton,33,42,21905.0,2,5,5,255,At Risk,2
Joel Jenkins,3,34,19993.0,5,4,5,545,Champions,2
John Castell,2,30,12298.0,5,2,2,522,Regular Customers,1
John Dryer,16,29,11591.0,3,2,2,322,Regular Customers,1
John Grady,1,40,22219.0,5,5,5,555,Champions,2
John Huston,14,38,25947.0,3,5,5,355,Regular Customers,2
John Lee,22,37,25979.0,3,4,5,345,Regular Customers,2
John Lucas,45,26,10503.0,1,1,1,111,Lost Customers,1
John Murray,69,35,22386.0,1,4,5,145,At Risk,2
John Stevenson,12,26,12189.0,4,1,2,412,Regular Customers,1
Jonathan Doherty,3,38,19481.0,5,5,4,554,Champions,2
Jonathan Howell,41,40,16544.0,1,5,4,154,At Risk,2
Joni Blumstein,10,27,13339.0,4,1,2,412,Regular Customers,1
Joni Sundaresam,6,28,6809.0,5,2,1,521,Regular Customers,1
Joni Wasserman,6,32,10949.0,5,3,1,531,Regular Customers,1
Joseph Airdo,1,32,18169.0,5,3,4,534,Potential Loyalists,2
Joseph Holt,12,45,20939.0,4,5,5,455,Champions,2
Joy Bell-,2,39,24011.0,5,5,5,555,Champions,2
Joy Daniels,43,32,11346.0,1,3,1,131,At Risk,1
Joy Smith,22,36,20793.0,3,4,5,345,Regular Customers,2
Julia Barnett,1,34,17087.0,5,4,4,544,Loyal Customers,2
Julia Dunbar,66,28,11228.0,1,2,1,121,Lost Customers,0
Julia West,2,29,20598.0,5,2,5,525,Potential Loyalists,2
Juliana Krohn,9,38,23136.0,4,5,5,455,Champions,2
